TIME,GEO,SEX,AGE,VALUE
2020,Germany,Males,Total,41037613
2021,Germany,Males,Total,41026519
2022,Germany,Males,Total,41066785
2023,Germany,Males,Total,41559052
2008,Estonia,Males,Total,622050
2009,Estonia,Males,Total,621320
2010,Estonia,Males,Total,620800
2011,Estonia,Males,Total,619700
2012,Estonia,Males,Total,618138
2013,Estonia,Males,Total,616167
2014,Estonia,Males,Total,614919
2015,Estonia,Males,Total,614704
2016,Estonia,Males,Total,616708
2017,Estonia,Males,Total,617538
2018,Estonia,Males,Total,621084
2019,Estonia,Males,Total,625635
2020,Estonia,Males,Total,629277
2021,Estonia,Males,Total,630915
2022,Estonia,Males,Total,633415
2023,Estonia,Males,Total,647366
2008,Ireland,Males,Total,2226754
2009,Ireland,Males,Total,2252658
2010,Ireland,Males,Total,2260974
2011,Ireland,Males,Total,2269426
2012,Ireland,Males,Total,2273999
2013,Ireland,Males,Total,2283462
2014,Ireland,Males,Total,2295850
2015,Ireland,Males,Total,2313342
2016,Ireland,Males,Total,2339141
2017,Ireland,Males,Total,2367918
2018,Ireland,Males,Total,2392223
2019,Ireland,Males,Total,2428881
2020,Ireland,Males,Total,2457657
2021,Ireland,Males,Total,2477803
2022,Ireland,Males,Total,2503707
2023,Ireland,Males,Total,2604547
2008,Greece,Males,Total,5447947
2009,Greece,Males,Total,5456095
2010,Greece,Males,Total,5460865
2011,Greece,Males,Total,5453444
2012,Greece,Males,Total,5423884
2013,Greece,Males,Total,5366251
2014,Greece,Males,Total,5313239
2015,Greece,Males,Total,5268390
2016,Greece,Males,Total,5224210
2017,Greece,Males,Total,5221277
2018,Greece,Males,Total,5210040
2019,Greece,Males,Total,5208293
2020,Greece,Males,Total,5215488
2021,Greece,Males,Total,5196048
2022,Greece,Males,Total,5114747
2023,Greece,Males,Total,5090591
2008,Spain,Males,Total,22591483
2009,Spain,Males,Total,22880534
2010,Spain,Males,Total,22982272
2011,Spain,Males,Total,23049480
2012,Spain,Males,Total,23099012
2013,Spain,Males,Total,23017760
2014,Spain,Males,Total,22877461
2015,Spain,Males,Total,22826546
2016,Spain,Males,Total,22807464
2017,Spain,Males,Total,22834598
2018,Spain,Males,Total,22881882
2019,Spain,Males,Total,23009259
2020,Spain,Males,Total,23199313
2021,Spain,Males,Total,23227282
2022,Spain,Males,Total,23237152
2023,Spain,Males,Total,23565593
2008,France,Males,Total,30980230
2009,France,Males,Total,31147979
2010,France,Males,Total,31301764
2011,France,Males,Total,31462902
2012,France,Males,Total,31605383
2013,France,Males,Total,31772665
2014,France,Males,Total,32045129
2015,France,Males,Total,32174258
2016,France,Males,Total,32247386
2017,France,Males,Total,32314352
2018,France,Males,Total,32414230
2019,France,Males,Total,32551339
2020,France,Males,Total,32644981
2021,France,Males,Total,32782095
2022,France,Males,Total,32897977
2023,France,Males,Total,33011791
2008,Croatia,Males,Total,2076988
2009,Croatia,Males,Total,2076767
2010,Croatia,Males,Total,2074651
2011,Croatia,Males,Total,2068752
2012,Croatia,Males,Total,2062309
2013,Croatia,Males,Total,2047498
2014,Croatia,Males,Total,2030986
2015,Croatia,Males,Total,2010756
2016,Croatia,Males,Total,1984691
2017,Croatia,Males,Total,1956684
2018,Croatia,Males,Total,1923380
2019,Croatia,Males,Total,1903803
2020,Croatia,Males,Total,1891983
2021,Croatia,Males,Total,1874023
2022,Croatia,Males,Total,1862293
2023,Croatia,Males,Total,1861866
2008,Italy,Males,Total,28584441
2009,Italy,Males,Total,28781255
2010,Italy,Males,Total,28903027
2011,Italy,Males,Total,29014829
2012,Italy,Males,Total,29090347
2013,Italy,Males,Total,29193899
2014,Italy,Males,Total,29241521
2015,Italy,Males,Total,29228315
2016,Italy,Males,Total,29193044
2017,Italy,Males,Total,29178654
2018,Italy,Males,Total,29156469
2019,Italy,Males,Total,29131195
2020,Italy,Males,Total,29050096
2021,Italy,Males,Total,28866226
2022,Italy,Males,Total,28818956
2023,Italy,Males,Total,28814832
2008,Cyprus,Males,Total,380458
2009,Cyprus,Males,Total,389926
2010,Cyprus,Males,Total,399605
2011,Cyprus,Males,Total,408758
2012,Cyprus,Males,Total,418993
2013,Cyprus,Males,Total,421036
2014,Cyprus,Males,Total,417538
2015,Cyprus,Males,Total,411825
2016,Cyprus,Males,Total,412692
2017,Cyprus,Males,Total,416663
2018,Cyprus,Males,Total,421508
2019,Cyprus,Males,Total,427831
2020,Cyprus,Males,Total,434471
2021,Cyprus,Males,Total,437650
2022,Cyprus,Males,Total,441083
2023,Cyprus,Males,Total,449226
2008,Latvia,Males,Total,1007041
2009,Latvia,Males,Total,992648
2010,Latvia,Males,Total,970931
2011,Latvia,Males,Total,947939
2012,Latvia,Males,Total,934812
2013,Latvia,Males,Total,926580
2014,Latvia,Males,Total,917045
2015,Latvia,Males,Total,911207
2016,Latvia,Males,Total,904299
2017,Latvia,Males,Total,895683
2018,Latvia,Males,Total,889641
2019,Latvia,Males,Total,884909
2020,Latvia,Males,Total,880956
2021,Latvia,Males,Total,875225
2022,Latvia,Males,Total,869057
2023,Latvia,Males,Total,872321
2008,Lithuania,Males,Total,1487419
2009,Lithuania,Males,Total,1473352
2010,Lithuania,Males,Total,1450199
2011,Lithuania,Males,Total,1407223
2012,Lithuania,Males,Total,1383511
2013,Lithuania,Males,Total,1368891
2014,Lithuania,Males,Total,1369412
2015,Lithuania,Males,Total,1356415
2016,Lithuania,Males,Total,1346390
2017,Lithuania,Males,Total,1331734
2018,Lithuania,Males,Total,1314678
2019,Lithuania,Males,Total,1300044
2020,Lithuania,Males,Total,1295184
2021,Lithuania,Males,Total,1299477
2022,Lithuania,Males,Total,1306599
2023,Lithuania,Males,Total,1335816
2008,Luxembourg,Males,Total,239607
2009,Luxembourg,Males,Total,244835
2010,Luxembourg,Males,Total,249406
2011,Luxembourg,Males,Total,254619
2012,Luxembourg,Males,Total,261820
2013,Luxembourg,Males,Total,268412
2014,Luxembourg,Males,Total,275117
2015,Luxembourg,Males,Total,281972
2016,Luxembourg,Males,Total,289193
2017,Luxembourg,Males,Total,296641
2018,Luxembourg,Males,Total,302580
2019,Luxembourg,Males,Total,308720
2020,Luxembourg,Males,Total,314964
2021,Luxembourg,Males,Total,319456
2022,Luxembourg,Males,Total,325064
2023,Luxembourg,Males,Total,332444
2008,Hungary,Males,Total,4769562
2009,Hungary,Males,Total,4763050
2010,Hungary,Males,Total,4756900
2011,Hungary,Males,Total,4743901
2012,Hungary,Males,Total,4724666
2013,Hungary,Males,Total,4715953
2014,Hungary,Males,Total,4703391
2015,Hungary,Males,Total,4695779
2016,Hungary,Males,Total,4688519
2017,Hungary,Males,Total,4675291
2018,Hungary,Males,Total,4671602
2019,Hungary,Males,Total,4675821
2020,Hungary,Males,Total,4680790
2021,Hungary,Males,Total,4663794
2022,Hungary,Males,Total,4644875
2023,Hungary,Males,Total,4625260
2008,Malta,Males,Total,202734
2009,Malta,Males,Total,204607
2010,Malta,Males,Total,206203
2011,Malta,Males,Total,206405
2012,Malta,Males,Total,207695
2013,Malta,Males,Total,210383
2014,Malta,Males,Total,214533
2015,Malta,Males,Total,220488
2016,Malta,Males,Total,226396
2017,Malta,Males,Total,231663
2018,Malta,Males,Total,240599
2019,Malta,Males,Total,251836
2020,Malta,Males,Total,265762
2021,Malta,Males,Total,266939
2022,Malta,Males,Total,270066
2023,Malta,Males,Total,284821
2008,Netherlands,Males,Total,8112073
2009,Netherlands,Males,Total,8156396
2010,Netherlands,Males,Total,8203476
2011,Netherlands,Males,Total,8243482
2012,Netherlands,Males,Total,8282871
2013,Netherlands,Males,Total,8307339
2014,Netherlands,Males,Total,8334385
2015,Netherlands,Males,Total,8372858
2016,Netherlands,Males,Total,8417135
2017,Netherlands,Males,Total,8475102
2018,Netherlands,Males,Total,8527041
2019,Netherlands,Males,Total,8581086
2020,Netherlands,Males,Total,8648031
2021,Netherlands,Males,Total,8686536
2022,Netherlands,Males,Total,8745468
2023,Netherlands,Males,Total,8850309
2008,Austria,Males,Total,4042489
2009,Austria,Males,Total,4056935
2010,Austria,Males,Total,4066201
2011,Austria,Males,Total,4078871
2012,Austria,Males,Total,4098144
2013,Austria,Males,Total,4123622
2014,Austria,Males,Total,4155339
2015,Austria,Males,Total,4200397
2016,Austria,Males,Total,4272553
2017,Austria,Males,Total,4312441
2018,Austria,Males,Total,4338518
2019,Austria,Males,Total,4357033
2020,Austria,Males,Total,4378772
2021,Austria,Males,Total,4396952
2022,Austria,Males,Total,4425485
2023,Austria,Males,Total,4484815
2008,Poland,Males,Total,18411501
2009,Poland,Males,Total,18414926
2010,Poland,Males,Total,18412237
2011,Poland,Males,Total,18429700
2012,Poland,Males,Total,18427296
2013,Poland,Males,Total,18426093
2014,Poland,Males,Total,18403964
2015,Poland,Males,Total,18397163
2016,Poland,Males,Total,18377040
2017,Poland,Males,Total,18377837
2018,Poland,Males,Total,18380299
2019,Poland,Males,Total,18380376
2020,Poland,Males,Total,18373381
2021,Poland,Males,Total,17942141
2022,Poland,Males,Total,17846003
2023,Poland,Males,Total,17773379
2008,Portugal,Males,Total,5069747
2009,Portugal,Males,Total,5066239
2010,Portugal,Males,Total,5063745
2011,Portugal,Males,Total,5053543
2012,Portugal,Males,Total,5030437
2013,Portugal,Males,Total,4995697
2014,Portugal,Males,Total,4958020
2015,Portugal,Males,Total,4923666
2016,Portugal,Males,Total,4901509
2017,Portugal,Males,Total,4882456
2018,Portugal,Males,Total,4867692
2019,Portugal,Males,Total,4852366
2020,Portugal,Males,Total,4859977
2021,Portugal,Males,Total,4858749
2022,Portugal,Males,Total,4923101
2023,Portugal,Males,Total,5020648
2008,Romania,Males,Total,10049194
2009,Romania,Males,Total,9951873
2010,Romania,Males,Total,9880409
2011,Romania,Males,Total,9832949
2012,Romania,Males,Total,9777107
2013,Romania,Males,Total,9761480
2014,Romania,Males,Total,9746052
2015,Romania,Males,Total,9707074
2016,Romania,Males,Total,9649733
2017,Romania,Males,Total,9602080
2018,Romania,Males,Total,9554867
2019,Romania,Males,Total,9500450
2020,Romania,Males,Total,9460661
2021,Romania,Males,Total,9387590
2022,Romania,Males,Total,9239811
2023,Romania,Males,Total,9263961
2008,Slovenia,Males,Total,986533
2009,Slovenia,Males,Total,1003945
2010,Slovenia,Males,Total,1014107
2011,Slovenia,Males,Total,1014563
2012,Slovenia,Males,Total,1016731
2013,Slovenia,Males,Total,1019061
2014,Slovenia,Males,Total,1020874
2015,Slovenia,Males,Total,1022229
2016,Slovenia,Males,Total,1023333
2017,Slovenia,Males,Total,1025125
2018,Slovenia,Males,Total,1027041
2019,Slovenia,Males,Total,1038656
2020,Slovenia,Males,Total,1051066
2021,Slovenia,Males,Total,1059938
2022,Slovenia,Males,Total,1057695
2023,Slovenia,Males,Total,1063271
2008,Slovakia,Males,Total,2613688
2009,Slovakia,Males,Total,2618337
2010,Slovakia,Males,Total,2623546
2011,Slovakia,Males,Total,2625173
2012,Slovakia,Males,Total,2631752
2013,Slovakia,Males,Total,2635979
2014,Slovakia,Males,Total,2639060
2015,Slovakia,Males,Total,2642328
2016,Slovakia,Males,Total,2646082
2017,Slovakia,Males,Total,2651684
2018,Slovakia,Males,Total,2656514
2019,Slovakia,Males,Total,2661077
2020,Slovakia,Males,Total,2665350
2021,Slovakia,Males,Total,2666486
2022,Slovakia,Males,Total,2657903
2023,Slovakia,Males,Total,2655094
2008,Finland,Males,Total,2596787
2009,Finland,Males,Total,2611653
2010,Finland,Males,Total,2625067
2011,Finland,Males,Total,2638416
2012,Finland,Males,Total,2652534
2013,Finland,Males,Total,2666622
2014,Finland,Males,Total,2680364
2015,Finland,Males,Total,2691863
2016,Finland,Males,Total,2701490
2017,Finland,Males,Total,2712327
2018,Finland,Males,Total,2719131
2019,Finland,Males,Total,2723290
2020,Finland,Males,Total,2728262
2021,Finland,Males,Total,2733808
2022,Finland,Males,Total,2743101
2023,Finland,Males,Total,2753477
2008,Sweden,Males,Total,4563921
2009,Sweden,Males,Total,4603710
2010,Sweden,Males,Total,4649014
2011,Sweden,Males,Total,4690244
2012,Sweden,Males,Total,4726834
2013,Sweden,Males,Total,4765905
2014,Sweden,Males,Total,4814357
2015,Sweden,Males,Total,4872240
2016,Sweden,Males,Total,4930966
2017,Sweden,Males,Total,5013347
2018,Sweden,Males,Total,5082662
2019,Sweden,Males,Total,5142438
2020,Sweden,Males,Total,5195814
2021,Sweden,Males,Total,5222847
2022,Sweden,Males,Total,5260707
2023,Sweden,Males,Total,5298324
2008,Iceland,Males,Total,160896
2009,Iceland,Males,Total,162068
2010,Iceland,Males,Total,159936
2011,Iceland,Males,Total,160006
2012,Iceland,Males,Total,160364
2013,Iceland,Males,Total,161438
2014,Iceland,Males,Total,163318
2015,Iceland,Males,Total,165186
2016,Iceland,Males,Total,167270
2017,Iceland,Males,Total,171033
2018,Iceland,Males,Total,177600
2019,Iceland,Males,Total,182837
2020,Iceland,Males,Total,186941
2021,Iceland,Males,Total,189043
2022,Iceland,Males,Total,193128
2023,Iceland,Males,Total,199958
2008,Liechtenstein,Males,Total,17448
2009,Liechtenstein,Males,Total,17591
2010,Liechtenstein,Males,Total,17769
2011,Liechtenstein,Males,Total,17886
2012,Liechtenstein,Males,Total,18042
2013,Liechtenstein,Males,Total,18247
2014,Liechtenstein,Males,Total,18400
2015,Liechtenstein,Males,Total,18553
2016,Liechtenstein,Males,Total,18660
2017,Liechtenstein,Males,Total,18746
2018,Liechtenstein,Males,Total,18890
2019,Liechtenstein,Males,Total,19025
2020,Liechtenstein,Males,Total,19215
2021,Liechtenstein,Males,Total,19368
2022,Liechtenstein,Males,Total,19496
2023,Liechtenstein,Males,Total,19688
2008,Norway,Males,Total,2359690
2009,Norway,Males,Total,2395053
2010,Norway,Males,Total,2426752
2014,Norway,Males,Total,2567007
2015,Norway,Males,Total,2598824
2016,Norway,Males,Total,2623625
2017,Norway,Males,Total,2649130
2018,Norway,Males,Total,2668371
2019,Norway,Males,Total,2685073
2020,Norway,Males,Total,2706562
2021,Norway,Males,Total,2719259
2022,Norway,Males,Total,2737332
2023,Norway,Males,Total,2765470
2008,Switzerland,Males,Total,3727014
2009,Switzerland,Males,Total,3786675
2010,Switzerland,Males,Total,3830566
2011,Switzerland,Males,Total,3877426
2012,Switzerland,Males,Total,3922253
2013,Switzerland,Males,Total,3968524
2014,Switzerland,Males,Total,4022091
2015,Switzerland,Males,Total,4073880
2016,Switzerland,Males,Total,4121471
2017,Switzerland,Males,Total,4173437
2018,Switzerland,Males,Total,4206434
2019,Switzerland,Males,Total,4237121
2020,Switzerland,Males,Total,4268863
2021,Switzerland,Males,Total,4302599
2022,Switzerland,Males,Total,4338203
2023,Switzerland,Males,Total,4379953
2008,United Kingdom,Males,Total,30164349
2009,United Kingdom,Males,Total,30416523
2010,United Kingdom,Males,Total,30668969
2011,United Kingdom,Males,Total,30951490
2012,United Kingdom,Males,Total,31206241
2013,United Kingdom,Males,Total,31424121
2014,United Kingdom,Males,Total,31663387
2015,United Kingdom,Males,Total,31934099
2016,United Kingdom,Males,Total,32226060
2017,United Kingdom,Males,Total,32479738
2018,United Kingdom,Males,Total,32709956
2019,United Kingdom,Males,Total,32901036
2008,Bosnia and Herzegovina,Males,Total,1883485
2009,Bosnia and Herzegovina,Males,Total,1878012
2010,Bosnia and Herzegovina,Males,Total,1878035
2011,Bosnia and Herzegovina,Males,Total,1877482
2012,Bosnia and Herzegovina,Males,Total,1875610
2008,Montenegro,Males,Total,303199
2009,Montenegro,Males,Total,304082
2010,Montenegro,Males,Total,305223
2011,Montenegro,Males,Total,306125
2012,Montenegro,Males,Total,306359
2013,Montenegro,Males,Total,306801
2014,Montenegro,Males,Total,307155
2015,Montenegro,Males,Total,307522
2016,Montenegro,Males,Total,307734
2017,Montenegro,Males,Total,307752
2018,Montenegro,Males,Total,307741
2019,Montenegro,Males,Total,307712
2020,Montenegro,Males,Total,307555
2021,Montenegro,Males,Total,306864
2022,Montenegro,Males,Total,305174
2023,Montenegro,Males,Total,304691
2008,Moldova,Males,Total,1717459
2009,Moldova,Males,Total,1714931
2010,Moldova,Males,Total,1713487
2011,Moldova,Males,Total,1712106
2012,Moldova,Males,Total,1711725
2013,Moldova,Males,Total,1712346
2014,Moldova,Males,Total,1711506
2015,Moldova,Males,Total,1710244
2017,Moldova,Males,Total,1707363
2008,North Macedonia,Males,Total,1025239
2009,North Macedonia,Males,Total,1026804
2010,North Macedonia,Males,Total,1028815
2011,North Macedonia,Males,Total,1030880
2012,North Macedonia,Males,Total,1031926
2013,North Macedonia,Males,Total,1033138
2014,North Macedonia,Males,Total,1034841
2015,North Macedonia,Males,Total,1036518
2016,North Macedonia,Males,Total,1037601
2017,North Macedonia,Males,Total,1038613
2018,North Macedonia,Males,Total,1039283
2019,North Macedonia,Males,Total,1040200
2020,North Macedonia,Males,Total,1039716
2021,North Macedonia,Males,Total,1035218
2022,North Macedonia,Males,Total,911015
2008,Georgia,Males,Total,2078395
2009,Georgia,Males,Total,2080807
2010,Georgia,Males,Total,2108914
2011,Georgia,Males,Total,2127278
2012,Georgia,Males,Total,2143794
2014,Georgia,Males,Total,2141372
2015,Georgia,Males,Total,1778500
2016,Georgia,Males,Total,1779500
2017,Georgia,Males,Total,1781500
2018,Georgia,Males,Total,1791559
2019,Georgia,Males,Total,1790899
2020,Georgia,Males,Total,1790279
2008,Albania,Males,Total,1477908
2009,Albania,Males,Total,1467420
2010,Albania,Males,Total,1459649
2011,Albania,Males,Total,1455670
2012,Albania,Males,Total,1458774
2013,Albania,Males,Total,1460577
2014,Albania,Males,Total,1461567
2015,Albania,Males,Total,1461199
2016,Albania,Males,Total,1458451
2017,Albania,Males,Total,1453541
2018,Albania,Males,Total,1438609
2019,Albania,Males,Total,1429594
2020,Albania,Males,Total,1420613
2021,Albania,Males,Total,1409982
2022,Albania,Males,Total,1387060
2023,Albania,Males,Total,1366921
2008,Serbia,Males,Total,3581090
2009,Serbia,Males,Total,3566533
2010,Serbia,Males,Total,3553575
2011,Serbia,Males,Total,3530925
2012,Serbia,Males,Total,3514420
2013,Serbia,Males,Total,3497008
2014,Serbia,Males,Total,3479863
2015,Serbia,Males,Total,3464399
2016,Serbia,Males,Total,3446258
2017,Serbia,Males,Total,3429027
2018,Serbia,Males,Total,3410592
2019,Serbia,Males,Total,3392811
2020,Serbia,Males,Total,3374639
2021,Serbia,Males,Total,3345972
2022,Serbia,Males,Total,3308035
2023,Serbia,Males,Total,3229478
2008,Türkiye,Males,Total,35376533
2009,Türkiye,Males,Total,35901154
2010,Türkiye,Males,Total,36462470
2011,Türkiye,Males,Total,37043182
2012,Türkiye,Males,Total,37532954
2013,Türkiye,Males,Total,37956168
2014,Türkiye,Males,Total,38473360
2015,Türkiye,Males,Total,38984302
2016,Türkiye,Males,Total,39511191
2017,Türkiye,Males,Total,40043650
2018,Türkiye,Males,Total,40535135
2019,Türkiye,Males,Total,41139980
2020,Türkiye,Males,Total,41721136
2021,Türkiye,Males,Total,41915985
2022,Türkiye,Males,Total,42428101
2023,Türkiye,Males,Total,42704112
2008,Ukraine,Males,Total,21297678
2009,Ukraine,Males,Total,21184932
2010,Ukraine,Males,Total,21107067
2011,Ukraine,Males,Total,21032616
2012,Ukraine,Males,Total,20976712
2013,Ukraine,Males,Total,20962744
2014,Ukraine,Males,Total,20918288
2015,Ukraine,Males,Total,19787826
2016,Ukraine,Males,Total,19717881
2017,Ukraine,Males,Total,19644580
2018,Ukraine,Males,Total,19558180
2019,Ukraine,Males,Total,19455272
2020,Ukraine,Males,Total,19343440
2021,Ukraine,Males,Total,19195376
2022,Ukraine,Males,Total,19006979
2008,Kosovo*,Males,Total,1087541
2009,Kosovo*,Males,Total,1101435
2010,Kosovo*,Males,Total,1115252
2011,Kosovo*,Males,Total,904267
2016,Kosovo*,Males,Total,883294
2017,Kosovo*,Males,Total,882228
2018,Kosovo*,Males,Total,888151
2019,Kosovo*,Males,Total,885413
2020,Kosovo*,Males,Total,874881
2008,Andorra,Males,Total,43515
